Judul,Penulis,Dosen Pembimbing I,Dosen Pembimbing II,Abstrak
Pemetaan Potensi dan Penentuan Industri Kreatif Unggulan di Kabupaten Sumenep Madura,Nasrul Hudha,"Fitri Agustina,ST.,MT","Nachnul Ansori,ST.MT","Penelitian ini membahas tentang pemetaan potensi dan penentuan industri kreatif unggulan di kabupaten Sumenep. Hingga saat ini di kabupaten Sumenep tidak terdapat pemetaan terhadap industri kreatifnya. Menurut buku tentang Pengembangan Industri Kreatif Menuju Visi Ekonomi Kreatif 2025 terdapat 14 subsektor industri kreatif. Tujuan dari diadakannya penelitian ini adalah untuk memetakan industri kreatif yang ada di kabupaten Sumenep kedalam 14 subsektor tersebut dan menentukan industri kreatif unggulan di kabupaten Sumenep. Hasil dari penelitian ini adalah terdapat tiga subsektor industri kreatif unggulan berdasarkan empat variabel KBLI yaitu subsektor Kerajinan, subsektor Desain Feysen dan subsektor Video, Film dan Fotografi. Dan industri kreatif unggulan yang diperoleh berdasarkan perhitungan efisiensi dengan metode DEA adalah pada subsektor Video, Film dan Fotografi.

Kata kunci: industri kreatif, pemetaan, industri kreatif unggulan, metode DEA."
Analisis Persepsi  Konsumen Pada Rumah Makan Raja Bebek Bangkalan Menggunakan Analisis Citra dan Analisis Biplot,Zainal Fatah,"Dr. Rahmad Hidayat,ST.,MT","Sabaruddin Ahmad,ST.,MT","Banyaknya rumah makan bebek di Bangkalan membuat rumah makan Raja Bebek Bangkalan memiliki pesaing yang cukup tinggi. Untuk itu Rumah Makan Raja Bebek mempunyai strategi dengan memunculkan atribut baru sesuai dengan keinginan konsumen, misalnya menambahkan inovasi pada menu utamanya. Dengan demikian Rumah Makan Raja Bebek mempunyai ciri khas dengan Rumah Makan lainnya. Sehingga rumah makan Raja Bebek Bangkalan dapat mengetahui apa saja kelebihan dan kekurangan dibandingkan dengan rumah makan bebek lainnya. Penambahan produk dilakukan dengan melihat positioning dan persepsi konsumen terhadap produk yang disajikan oleh perusahaan, sehingga perusahaan dapat mempengaruhi keputusan konsumen melalui penambahan atribut seperti kandungan gizi, harga, bentuk kemasan penyajian, kecepatan pelayanan, porsi makan, mudah diperoleh, aman dikonsumsi, rasa dan aroma. Penelitian ini dilakukan terhadap konsumen terhadap Rumah Makan Raja Bebek yang terletak di Bangkalan, menggunakan metode Analisis Citra dan Biplot, dengan tujuan mengetahui persepsi dan pengaruh kedekatan atribut terhadap penilaian konsumen. Teknik pengambilan data menggunakan kuesioner yang disebarkan kepada konsumen dan wawancara kepada pihak rumah makan. Analisis Citra dapat mengetahui persepsi dan penilaian konsumen terhadap atribut yang ada, dan dapat ditunjukkan hasil analisis citra tehadap atribut yang ada di Rumah Makan Raja Bebek Bangkalan yaitu untuk atribut kandungan gizi sebesar 3.513, harga sebesar 3.385, bentuk kemasan penyajian sebesar 3.325, kecepatan pelayanan sebesar 3.427, porsi makan sebesar 3.393, mudah diperoleh sebesar 3.487, aman dikonsumsi sebesar 3. 675, rasa sebesar 3. 829 dan untuk atribut aroma sebesar 3.932. Sehingga dapat dilihat dari atribut tersebut Rumah Makan Raja Bebek Bangkalan memiliki keunggulan dalam aroma.
Kata kunci : Positioning, Analisis Citra, Analisis Biplot"
Pemetaan Beban Sistem Kredit Semester (SKS) dan Indeks Prestasi Sementara (IPS) Mahasiswa Teknik Industri Fakultas Teknik Universitas Trunojoyo Madura,Isha Paramita Sari,Retno Indriartiningtias S.T.S.E.M.T,Ari Basuki S.T.M.T,"Fakultas Teknik Universitas Trunojoyo Madura mengalami naik turun Indeks Prestasi Sementara sejak 2010-2012 fakta ini sangat mempengaruhi terhadap sks yang akan diambil mahasiswa disemester berikutnya. Oleh karena itu perlu melakukan pemetaan beban SKS dan IPS mahasiswa TI. Pada penelitian ini pemetaan dilakukan dengan analisis K-Mean Cluster dengan sample mahasiswa angkatan 2009-2010 untuk SKS dan IPS semester 2 sampai semester 5. 
Hasil penelitian didapatkan pada cluster 1 IPS terletak antrara 1,61 sampai 3,34, sks antara 2 sampai 11, cluster 2 IPS terletak antara 2,33 samapai 3,96, sks antara 21 sampai 24 sks, cluster 3 IPS terletak antara 2,67 sampai 3,75, sks antara 14 sks sampai 21, cluster 4 IPS terletak antara 1,41 sampai 2,74, sks antara 14 sampai 23, cluster 5 IPS terletak antara 0,20 sampai 2,14, sks antara 11 sampai 24.

Kata kunci :
Indeks Prestasi Sementara, K-Mean Cluster, Sistem Kredit Semester"
PENGEMBANGAN TORQUE MULTIPLIER MOTOR-GENERATOR SEBAGAI SUMBER LISTRIK DARURAT PENGGANTI GENSET DENGAN PENDEKATAN ANALISIS MULTIKRITERIA AHP - PROMETHEE II,FARIS AL GHONI,"SUGENG PURWOKO,S.T.,M.T","MU`ALIM,S.T.,M.T.","Peningkatan kebutuhan energi listrik yang sangat besar di Indonesia mendorong peningkatan sumber energi listrik yang masih mengandalkan pembangkit termal seperti minyak, gas dan batu bara yang harganya mahal sehingga biaya pembangkitan menjadi sangat tidak efisien. Akibat dari kondisi tersebut ditambah lagi dengan keterbatasan jangkauan distribusi, hampir 43,2 persen rumah tangga belum menikmati listrik. Selain itu, adanya kebijakan pemadaman bergilir mendorong pemakaian sumber energi listrik cadangan untuk keadaan darurat berupa generator set (genset) yang berbahan bakar bensin atau solar. Dari sisi biaya investasi untuk kapasitas daya yang sama genset lebih murah daripada sumber energi listrik alternatif lain. Dari segi portabilitasnya genset lebih mudah dibawa kemana-mana sesuai kebutuhan. Namun genset sangat tergantung pada ketersediaan bahan bakar minyak yang cadangannya semakin menipis dan penggunaannya dapat menimbulkan polusi dan memperparah isu global warming.Oleh karna itu, pada penelitian ini dilakukan analisis kelayakan pengembangan prototipe motor-generator dengan torque multiplier system listrik dengan teknologi flywheel (Chas Cambell System) dan transmisi motor ke generator menggunakan sistem torque multiplier sebagai alternatif sumber energi listrik cadangan. Berdasarkan penelitian ini, hasil pembobotan multikriteria AHP âPromethee II prototipe motor generator jauh lebik baik dari segi biaya operasional dan dampak terhadap lingkungan dibandingkan dengan genset sehingga prototipe motor generator layak untuk dikembangkan.
Kata kunci : Global Warming, Listrik, Promethee II, Motor Generator."
"ANALISIS PEMILIHAN ALTERNATIF  PENINGKATAN KINERJA OVEN
TENAGA SURYA DAN HEATER DENGAN PENDEKATAN MULTIKRITERIA
(Studi Kasus:IKM Ambudi Makmur II Bangkalan)",KHAMDANI ZUDI KHOIRO,"RETNO INDRIATININGTIAS , ST., MT.","TEGUH PRASETYO , ST., MT.","ABSTRAK
Penelitian ini membahas mengenai cara menentukan kriteria dan alternatif yang
digunakan untuk meningkat kinerja dari oven tenaga suryadan heater yang ada di IKM
Ambudi  Makmur  II  bangkalan.  Dengan  menggunakan  metode  AHP  sebagai  dasar
menentukan tingkat  kriteria  kemudian  dilanjutkan  dengan  menggunakan  metode
PROMETHEE sebagai dasar untuk menentukan alaternatif terbaik yang nantinya akandi
aplikasikan untuk meningkatkan kinerja dari oven tenaga surya dan heater.Dari pemilhan
alternative  terbaik  inilah  didapatkan  oven  tenaga  surya  dan  heater  300  watt  adalah
alternatifterbaik yang didapatkan.
Kata kunci : heater, tenaga surya, promethee, ahp, analisis kinerja, MCDM"
"MITIGASI RISIKO RANTAI PASOK MENGGUNAKAN PENDEKATAN SUPPLY CHAINRISK MANAGEMENT (SCRM)
Studi Kasus : PT. Barata Indonesia (Persero)
",DIDIK ACHMADI,"Trisita Novianti, S.T.P., M.T.","Fitri Agustina, S.T., M.T.","Rantai pasok merupakan suatu hal penting dalam perdagangan domestik maupun internasional, yang menentukan sejauh mana efisiensi dan nilai efektifitas dari pemesanan, proses produksi hingga pendistribusian barang dari sentra produksi atau impor sampai ke tingkat konsumen. PT. Barata Indonesia (Persero) merupakan perusahaan yang bergerak menggunakan strategi produksi Make To Order yang sering kali mengalami kendala dalam proses supply khususnya penerimaan bahan baku yang tidak sesuai waktu yang ditentukan. Dalam menangani risiko yang terjadi dilakukan pendekatan Supply Chain Risk Management (SCRM), dimana akan dilakukan identifikasi dampak  kejadian risiko dan probabilitas agen risiko pada risiko supply, operational dan demand. Dalam mengidentifikasi risiko digunakan tool House of Risk (HOR) yang terdiri dua fase. Hasil penilaian risiko fase pertama terdapat 23 kejadian risiko dan 17 agen risiko yang meliputi 4 risiko supply, 16 risiko operational dan 3 risiko demand. Dari hasil tersebut akan didapat urutan nilai aggregate risk potential (ARP) terbesar hingga terkecil. Risiko dengan nilai ARP terbesar akan menjadi inputan pada fase kedua HOR. Pada fase kedua, agen risiko terpilih akan dikorelasikan dengan usulan strategi mitigasi, terdapat 9 strategi mitigasi risiko rantai pasok yang akan dinilai tingkat relationship keduanya, sehingga didapat urutan strategi mitigasi yang sesuai kemampuan perusahaan. 

Kata Kunci :Supply Chain Risk Management (SCRM), House Of Risk (HOR), Mitigation Strategy."
Analisis Pengaruh Hubungan Supplier â Manufacturer Terhadap Kinerja Rantai Pasok,bagus puji utomo,"Dr. Rachmad Hidayat, S.T., M.T.","Ari Basuki, S.T., M.T.","Penelitian ini dilakukan di PT.Barata Indonesia (Persero) yang bertujuan untuk mengkaji dan memperoleh bukti empiris pengaruh komitmen, komunikasi, kepuasan, kepercayaan, kualitas hubungan, kinerja rantai pasok. Jumlah sampel dalam penelitian ini, yaitu 150 responden dimana responden tersebut yaitu supplier dari PT.Barata Indonesia (Persero) dengan teknik penarikan sampel menggunakan total sampling. Skala yang digunakan, yaitu skala Likert dengan nilai 1 sampai 5. Data-data tersebut kemudian diolah dan dianalisis menggunakan Structural Equation Modeling. Hasil pengujian hipotesis baik secara langsung maupun tidak langsung terdapat dua hipotesis yang berpengaruh positif dan signifikan, antara lain pengaruh langsung kepercayaan terhadap kinerja rantai pasok, pengaruh langsung kualitas hubungan terhadap kinerja rantai pasok, namun terdapat juga sembilan hipotesis yang berpengaruh positif namun tidak signifikan. Hasil dari penelitian ini model akhir dengan nilai chi square sebesar 97,779  dan probabilitas sebesar 0,516. Artinya, model secara keseluruhan dikatakan fit.
Kata Kunci: hubungan supplier  manufacturer, kualitas hubungan, kinerja rantai pasok, SEM(Structural Equation Modeling)."
APLIKASI BELAJAR MENULIS ALPHANUMERIK UNTUK ANAK USIA PRA-SEKOLAH BERBASIS ANDROID,Darmawan Aditama,"Yonathan Ferry Hendrawan, S.T., M.I.T","Muhammad Fuad, S.Kom., M.T","Kemampuan menulis Alphanumerik  merupakan bekal utama bagi anak untuk dapat memahami mata pelajaran yang diberikan di sekolah. Salah satu alternatif untuk  membantu meningkatkan minat dan kemampuan anak dalam belajar menulis Alphanumerik adalah dengan menggunakan media pembelajaran berupa perangkat  lunak (software). Penelitian tugas akhir ini adalah membuat sebuah aplikasi yang menyajikan pembelajaran menulis Alphanumerik  yang sengaja dikemas dalam bentuk permainan supaya dapat meningkatkan minat belajar anak usia pra-sekolah. Aplikasi pembelajaran ini dibagi menjadi dua, yaitu pengenalan pola dan  pengenalan karakter. Untuk pengenalan pola dibuat dengan mengikuti jalur yang ada pada gambar yang diwakili oleh gambar bola sebagai dasar dari tiap sudut Alphanumerik. Garis dibuat dengan menggeser jari pada layar handphone dari satu titik ke titik yang lain yang menghubungkan setiap sudut Alphanumerik. Cara menulis ini dibuat sesuai dengan kaedah penulisan Alphanumerik yang ada di pendidikan menulis usia dini. Sedangkan dalam pengenalan karakter, aplikasi merekam tulisan tangan Alphanumerik yang telah dibuat oleh pengguna pada tempat yang disediakan. Dari tulisan tangan tersebut kemudian akan diproses pada tahapan pengolahan citra. Citra gambar tersebut dibandingkan dengan database yang ada pada aplikasi dengan bantuan Library Tesseract sebagai mesin perbandingannya. Dari hasil uji coba, anak-anak pra-sekolah mudah mengoprasikan aplikasi ini."
SISTEM PAKAR DIAGNOSA PENYAKIT GAGAL JANTUNG MENGGUNAKAN METODE BAYESIAN NETWORK,M. Khoirul Mahmudi,"Mula'ab, S.Si., M.Kom.","Firli Irhamni, ST., M.Kom.","Penyakit Gagal jantung adalah pembunuh nomer satu pada negara yang sedang berkembang. Seperti halnya di Indonesia dan negara-negara asia pada umumnya, di Amerika pun  penyakit jantung pernah menjadi pembunuh nomer satu. Di seluruh dunia, jumlah penderita penyakit ini terus bertambah. Ketiga  kategori penyakit ini tidak lepas  dari gaya  hidup  yang kurang sehat yang banyak dilakukan seiring dengan berubahnya pola hidup.  Faktor-faktor pemicu serangan 
jantung  ialah  rokok,  mengonsumsi  makanan  berkolest erol  tinggi,  kurang  gerak,  malas berolahraga, stres, dan kurang istirahat.Seiring kemajuan teknologi dibuatlah sistem yang bisa mendiagnosa  penyakit-penyakit  tersebut.  Sistem  ini  yang  nanti  akan  menggantikan  pakar aslinya  dalam  penentuan diagnosa  penyakit.  Sehingga  dengan  sistem  ini  nanti   diharapkan pasien  bisa  mendapatkan  pelayanan  lebih  cepat  dan  akurat.  Sistem  pakar  ini  menggunakan 
metode  Bayesian Network  sebagai acuannya.  Dalam metode ini menggunakan struktur gejala yang saling berkaitan untuk mendiagnosa penyakit. Struktur tersebut ditentukan oleh seorang pakar dibidang jantung. Kemudian ditentukan nilai probabilitas dari setiap gejala berdasarkan keterkaitan antara gejala. Setelah didapatkan semua baru semua nilai dibandingkan dan diambil nilai  terbaik  sebagai  hasil  diagnosa.  Dalam  pengaplikasiannya  sistem  ini  memiliki  akurasi 
sampai lebih dari 80%."
"PENERAPAN FUZZY DECISION TREE
PADA SELEKSI PENERIMAAN BEASISWA DIPA 
DENGAN ALGORITMA ITERATIVE DICHOTOMIZER 3",Ayu Noer Aisyah,"Bain Khusnul K., S.T., M.Kom","Andharini Dwi Cahyani, S.Kom., M.Kom","Beasiswa DIPA merupakan pemberian berupa bantuan keuangan yang diberikan kepada perorangan yang bertujuan untuk digunakan demi keberlangsungan pendidikan yang ditempuh. Mengingat besarnya dana dan tujuan utama berupa 3T (Tepat Sasaran,Tepat Jumlah,dan tepat Waktu) dibutuhkan sebuah sistem untuk menetapkan penerima beasiswa. Penelitian ini menerapkan pemodelan Fuzzy Decision Tree (FDT) pada seleksi penerimaan beasiswa DIPA dengan algoritma ID3. Metode ini dipilih memberikan data yang lengkap karena pada proses perhitungan dilakukan pencarian secara menyeluruh untuk semua kemungkinan yang. Penelitian ini melakukan pemodelan penerima beasiswa sebanyak 200 data mahasiswa yaitu PPA dan BBM. Pada data PPA yang menggunakan 50 data training dengan threshold 70%, 80% dan 90% menghasilkan akurasi yang baik yaitu 86%.Ketika menggunakan 70 data training, memperoleh hasil akurasi  70%.Sedangkan untuk data BBM, dengan 50 data training menggunakan trheshold 70%, 80% dan 90% menghasilkan akurasi yang baik yaitu 97%.Ketika 70 data training, menghasilkan akurasi 73%. Hasil yang diperoleh bergantung pada data dan threshold yang digunakan. Semakin tinggi threshold yang digunakan maka semakin banyak rule yang dihasilkan. Namun semakin banyak data yang digunakan maka semakin rendah hasil akurasi  yang diperoleh. Akurasi terbaik terdapat pada penggunaan 50 data dan threshold 90% yang menghasilkan akurasi sebesar 90% untuk PPA dan 97% untuk BBM.

Kata Kunci: Rule, Threshold, Fuzzy Decision Tree ID3"
"IDENTIFIKASI GAYA KOGNITIF
BERBASIS MYERS BRIGGS TYPE INDICATOR (MBTI) 
DENGAN MENGAMATI PERILAKU BROWSING SISWA
",Megawati Pratiwi Rifai,"Andharini Dwi C., S.Kom.,M.Kom.","Bain Khusnul K., S.T.,M.Kom","E-learning merupakan pengaruh proses transformasi pendidikan konvensional ke dalam bentuk digital, baik secara isi dan sistemnya. Pengguna sistem tersebut adalah siswa. Konsep belajar setiap siswa berbeda antara satu dengan yang lainnya baik dari segi tingkat pemahaman dan cara memproses pengetahuan mereka. Oleh karena itu, diperlukannya mengidentifikasi gaya kognitif berbasis Myers Briggs Type Indicator (MBTI) dengan mengamati perilaku browsing siswa melalui metode Neural Network (NN). Metode ini diadopsi karena mampu mengorganisasi dirinya sendiri dalam mengklasifikasi data yang diberikan selama masa training dan data yang dihasilkan bersifat akurat walaupun dalam proses lama. Pengumpulan data yang digunakan dengan melakukan pengamatan perilaku browsing siswa yang nantinya akan diproses menggunakan algoritma Backpropagation. Kemudian data akan dibandingkan dengan hasil kuisioner MBTI yang telah dikumpulkan sebelumnya. Data yang digunakan adalah 250 data siswa. Hasil yang diperoleh tergantung dari penggunaan batas MSE dan iterasi. Semakin rendah penggunaan batas MSE, maka semakin tinggi pula nilai akurasi yang diperoleh. Semakin tinggi batas iterasi yang digunakan, maka nilai akurasi yang diperoleh stabil atau tetap. Hasil akurasi terbaik diperoleh ketika MSE 0.001 dengan batas iterasi berkisar 500-1000 iterasi menghasilkan akurasi 90%. Hasil gaya kognitif yang diperoleh tersebut akan menjadi suatu acuan bagi guru untuk strategi pembelajaran berikutnya sesuai gaya kognitif siswa.

Kata kunci : Gaya Kognitif, MBTI, Backpropagation"
Sistem informasi lowongan kerja di disnakertrans kabupaten pamekasan,Tri Meilita Norjannah,"M.Latif,S.kom,M.T",,"ABSTRAKSI

Setiap perusahaan mempunyai banyak lowongan kerja yang ditawarkan kepada pencari kerja. Namun, tidak semua lowongan pekerjaan yang ditawarkan sesuai dengan keinginan pencari kerja. Hal ini juga menjadi dasar penulis untuk membuat aplikasi berbasis web yang dapat mencari lowongan pekerjaan yang sesuai dengan kriteria pencari kerja secara cepat dan tepat. Sistem informasi berbasis web ini dapat mempermudah para pencari kerja untuk mencari pekerjaan. Aplikasi ini juga dapat menghubungkan antara perusahaan dan pencari kerja.
Sistem Informasi Lowongan Pekerjaan ini merupakan suatu sistem dimana para pencari kerja dapat memasang curriculum vitae-nya dan perusahaan penyedia kerja dapat memasang iklan lowongan pekerjaan secara online.

Kata kunci :Sistem Informasi,Lowongan kerja, Kriteria"
Sistem Pakar Diagnosa Penyakit Gagal Jantung Menggunakan Metode Radial Basis Function,Shofiyan Yulis Ekasaputra,"Mulaab, S.Si., M.Kom.","Firli Irhamni, ST., M.Kom","Penyakit gagal jantung merupakan salah satu darimacam-macam penyakit jantung, pada penderita gagal jantung, detakanjantungnya tidak berjalan secara normal, dalam melakukan aktivitas normal penderita cenderung mudah lelah, Penyebabnya adalah rusaknya otot jantung serta karena adanya beban jantung yang berlebihan, pada saat ini penderita penyakit gagal jantung tiap tahunnya semakin meningkat, dan lebih cenderung mengenai laki-laki daripada perempuan. Oleh karena itu, perkembangan teknologi informasi dan komunikasi menjadi media utama untuk menjembatani permasalahan tersebut. Di bidang medis, peranan teknologi informasi dan komunikasi dikemas dalam suatu wadah informatika medis, sehingga dibuatlah sebuah sistem pakar penyakit gagal jantung yang nantinya diharapkan bisa bermanfaat untuk mengetahui lebih dini penyakit gagal jantung, sehingga dapat ditangani lebih cepat dan mengurangi resiko meninggal dunia, dalam hal ini aplikasi untuk mendiagnosa penyakit gagal jantung menggunakan metode Radial Basis Function, dengan penentuan hidden node menggunakan K-Means Cluster, metode K-Means digunakan karena ketepatan penentuan nilai centroid yang akurat, fungsi aktivasi yang digunakan pada penelitian ini hanya menggunakan fungsi aktivasigaussian, inputan terdiri dari 16 variabel, berdasarkan keluhan dan gejala-gejala yang dialami oleh pasien, data training dan data testing yang digunakan berasal dari rekammedik Rumah Sakit Umum DaerahSidoarjo. Kata Kunci : Radial Basis Function, K-Means, Gaussian"
GPS TRACKING UNTUK MENEMUKAN LOKASI PUSKESMAS KELILING BERBASIS MOBILE ANDROID,Fitanul Fitriyah,"Dwi Kuswanto S.Pd,.M.T","Aery Rachmad S.T,.MT","Mobil keliling merupakan suatu program pemerintah yang banyak digunakan saat ini, salah satunya adalah puskesmas keliling. Puskesmas keliling tersebut diperuntukan untuk pelayanan kesehatan masyarakat yang lebih baik lagi. Objek yang berupa mobil sering berpindah-pindah tempat sehingga masyarakat yang ingin menggunakan jasa puskesmas keliling tersebut harus mencari objek dan tempat dimana mobil tersebut berada. Objek dan tempat tempat yang belum diketahui, menjadi kendala untuk menemukan objek atau tempat yang dicari. Namun  permasalahannya adalah, ketika puskesmas ingin melakukan share lokasi, mereka harus terhubung dengan internet, sehingga jika tidak memiliki koneksi internet tidak dapat melakukan share lokasi dimana puskesmas keliling berada. Dalam tugas akhir ini, dibuat sebuah sistem share data lokasi, dimana sisi client akan mendapatkan titik lokasi objek tanpa koneksi internet. share lokasi ini memanfaatkan layanan SMS yang lebih umum tersedia dibandingkan internet. Dengan menggunakan dua aplikasi yang berperan sebagai Server dan Client, sistem ini memiliki dua fungsi utama, yaitu fungsi pelacakan dengan GPS Tracking pada aplikasi Server, dan fungsi untuk menampilkan peta dengan memanfaatkan Google Maps pada aplikasi Client. Aplikasi ini dipasang dalam smartphone yang berbasis android. Dengan kemanfaatan rata-rata 62,33 % dan tampilan rata-rata 57,66 %.

Keywords: GPS Tracking, Google Maps, Server, Client, Android"
Rancang Bangun Penepung Alat Pembuat Pakan Ikan Bentuk Pellet,Muhammad Zainul Fanani,"Mu'alim,S.T,M.T","Sugeng Purwoko,S.T.,M.T","Salah satu sentra perikanan budidaya kolam di Kabupaten Tulungagung adalah Desa Tanggung dengan komoditi andalannya adalah ikan lele. Di Desa Tanggug terdapat peternak ikan lele dengan kebutuhan pakan buatan (pellet) per bulannya sekitar 200 karung dimana perkarungnya dengan bobot Â± 30 kg harganya minimal Rp.240.000,-. Ketergantungan dengan produk pabrik ini sangat membebani para peternak, karena permasalahan pakan ini mempunyai proposi yang sangat besar sekitar 70 % dari seluruh kebutuhan produksi budidaya lele.
Dalam rangka mengatasi kendala tersebut para peternak ikan membentuk kelompok dengan salah satu tujuan utamanya adalah agar bisa membuat pakan ikan buatan sendiri. Dengan pengadaan  pellet ikan di Desa Tanggung dapat menggurangi pembelian pakan dari pabrikan yang harganya melambung tinggi.
Untuk mengidentifikasi permasalahan lebih dalam maka dilakukan kegiatan Focus Group Discussion Berdasarkan dari beberapa peluang dan permasalahan diatas, para peternak ikan lele di Desa Tanggung sangat membutuhkan mesin penepung bahan pellet ikan lele yang bisa menghasilkan ukuran mesh butiran yang halus sesuai standar persyaratan untuk dapat dicetak menjadi pellet.
Berdasarkan langkah perancangan produk pencetak pellet dengan menggunakan Disain For Sustainability didapatkan prototype penepung pellet sebagai berikut : menggunakan (1) Motor bakar 5,5Hp. (2) Penepung tipe Disk mill. (3) Blower sebagai pendorong udara. (4) v belt polos. (5) Pulley berukuran 10 dem.dll


Keyword : Tepung halus, D4S metode, Penepung Otomatis"
ANALISIS MODEL E-BIKE DENGAN PENDEKATAN MULTRIKRITERIA ANALITICAL HIERARCHY PROCESS (AHP)  DAN PROMETHEE II,FARID UBAIDILLAH,"ARI BASUKI, S.T,. M.T.","MU'ALIM, S.T,. M.T.","Penelitian ini bertujuan untuk menjawab permasalahan mengenai eksistensi kendaraan yang kurang ramah lingkungan dan masih bergantung pada bahan bakar fosil. Kendaraan ini didesain dengan baik  untuk  memenuhi   kebutuhan  masyarakat  akan  kendaraan  yang  ramah lingkungan dan hemat bahan bakar dengan kecepatan maksimal yang ditempuh sekitar 20 km/jam selama kurang lebih satu jam dengan sekali pengisian baterai. Dalam penelitian yang berjudul Analisa model E-bike dengan pendekatan Multikriteria Analitical Hierarchy Process (AHP) dan Promethe II ini peneliti bermaksud mengatasi permasalahan di Laboratorium Sistem Manufaktur Pada pengolahan data yang dilakukan akan dianalisis menggunakan model pembobotan kriteria. Dilakukan melelui pendekatan metode Analytical Hierarchy Process (AHP) maka dipilih sebagian kriteriayang nantinya digunakan sebagai alternatif terbaik dengan beberapa parameter kriteria yang didapatkan pada tahap pengelompokan kriteria dari responden, produsen dan parah ahli dan di lanjutkan ke perhitungan dengan mengunakan metode promethee II untuk menentukan acuan model E-bike untuk merancang desain E-bike yang lebih sederhana dan ekonomis, desain alternatif model E-bike yang ke 3 yang terpilih dengan bobot kriteria-kriteria yang bobotnya paling tinggi adalah harga, material, keamanan, kemyamanan dan desain. Dari segi harganya nantinya untuk E-Bike lebih murah dan harganya sangat terjangkau, sedangkan dari segi keadalan nantinya E-Bike disainnya lebih bagus, full color dan modelnya lebih bervariasi, dari segi material lebih ringan, dan kuat untuk menahan beban yang berat yang terkhir dari segi keamanan E-Bike lebih aman untuk digunakan kemudian di lengkapi kunci ganda dan sepeda E-Bike tidak muda konsleting.

Kata Kunci : E-bike, Alternatif, AHP, Promethee"
"Simulasi Dan Analisis Perbaikan Pelayanan Kasir
Study Kasus Di Swalayan ABC
",Muchammad Zuhda Fahrudin,"Samsul Amar ST., MSc","Heri Awwalul Ilhamsyah ST., MT","Swalayan ABC merupakan suatu usaha yang bergerak dibidang  jasa yang menyediakan berbagai barang kebutuhan sehari-hari. Karena bergerak dibidang jasa, maka Swalayan ABC harus mampu melayani pelanggan dengan cepat, dan pelanggan tidak menunggu terlalu lama sehingga terjadi antrian. Pada hari sabtu minggu banyak  pengunjung yang datang untuk belanja, akan tetapi fasilitas pelayanan yang ada tidak mampu melayani banyaknya pelanggan yang meminta untuk dilayani kasir sehingga terjadi antrian. Sedangkan pada hari selain sabtu dan minggu dengan jumlah kasir yang sama yaitu 4 kasir utilitasnya rendah. Penelitiaan ini mencoba menentukan alternatife jumlah kasir terbaik pada saat hari ramai dan hari-hari biasa. Penelitian ini menggunakan software Arena 5.0 untuk membandingkan waiting time pada kondisi awal dan setiap usulan. Berdasarkan analisa dengan menambah 2 kasir pada hari sabtu dan minggu dan menggunakan 3 kasir pada hari-hari biasa diperoleh waktu tunggu yang lebih rendah serta total biaya sebesar Rp 1,415,179.19  per minggu. Dan jika mempekerjakan 4 tenaga free lance pada hari sabtu dan minggu total biaya sebesar Rp1,056,512.53. Oleh sebab itu sebaiknya Swalayan ABC mempekerjakan 6 kasir untuk hari sabtu dan minggu serta 3 kasir pada hari-hari biasa, baik menggunakan tenaga free lance maupun tidak."
Studi Perbaikan Penilaian Kinerja Karyawan Dengan  Menggunakan Metode Analytical Hierarchy Process (AHP) di PT. PG Candi Baru Sidoarjo,Evi Wijayanti,Trisita Novianti STP.MT,Agus Salim ST.MT,"PT. PG candi baru Sidoarjo merupakan perusahaan swasta  yang  bergerak  di bidang  produksi gula. PT. PG candi baru Sidoarjo memiliki jumlah karyawan yang cukup banyak sehingga sering terjadi kendala dalam penentuan karyawan terbaik yang akan mendapatkan promosi jabatan. Perusahaan ini sudah melakukan pengukuran kinerja bagi para karyawannya, namun hanya dilihat dari beberapa aspek saja dan masih belum menggunakan salah satu metode pengukuran kinerja karyawan yang terstruktur dengan baik. Kriteria penilaian yang digunakan oleh PT. PG candi baru Sidoarjo memiliki beberapa kekurangan, diantaranya adalah dimensi penilaian yang digunakan belum mencakup keseluruhan dari aspek penilaian kinerja yang terdapat di perusahaan dan juga belum adanya apresiasi tersendiri bagi seorang karyawan yang memiliki kinerja yang paling baik. Dalam  situasi  yang kompleks,  pengambilan keputusan tidak dipengaruhi oleh satu faktor saja melainkan multifaktor dan berbagai kepentingan. Berdasarkan hasil pembobotan yang digunakan dengan AHP, dapat diperoleh bobot kriteria yang tertinggi adalah sub aspek tugas dan sasaran kerja (41,11%), selanjutnya aspek kepemimpinan atau manajerial (33%), aspek perilaku kerja (26%). Hasil dari penilaian adalah dengan mengalihkan bobot masing-masing kriteria yang sudah didapat dari pembobotan menggunakan metode AHP dengan hasil penilaian yang dilakukan penilai. Dari hasil perhitungan menggunakan metode AHP diperoleh karyawan yang memiliki nilai tertinggi adalah Wahyu, dengan nilai sebesar 4,66816. Dengan demikian, karyawan yang bernama Wahyu berhak untuk mendapatkan promosi jabatan sesuai dengan tujuan dalam penelitian ini. 
 	
Kata Kunci : Penilaian kinerja, Metode Analytical Hierarchy Process."
